voltage,current,power,pf,z
224,0.81,147.2,0.81,276.5
224,0.81,147.2,0.81,276.5
224.5,1.112,229.2,0.9,201.9
224.5,1.112,229.2,0.9,201.9
224,1.081,150.1,0.62,207.2
224,1.081,150.1,0.62,207.2
224.1,1.086,151.5,0.62,206.4
224.1,1.086,151.5,0.62,206.4
223.4,1.069,149.8,0.63,209.0
223.4,1.069,149.8,0.63,209.0
223.3,1.073,150,0.63,208.1
223.3,1.073,150,0.63,208.1
223.1,1.068,148.7,0.62,208.9
223.1,1.068,148.7,0.62,208.9
223,1.064,148.6,0.63,209.6
223,1.064,148.6,0.63,209.6
222.9,1.069,149.3,0.63,208.5
222.9,1.069,149.3,0.63,208.5
223,1.064,149.4,0.63,209.6
223,1.064,149.4,0.63,209.6
223.7,1.078,151.7,0.63,207.5
223.7,1.078,151.7,0.63,207.5
224.1,1.083,152.7,0.63,206.9
224.1,1.083,152.7,0.63,206.9
224.1,1.082,152.7,0.63,207.1
224.1,1.082,152.7,0.63,207.1
224.2,1.089,153.4,0.63,205.9
224.2,1.089,153.4,0.63,205.9
224,1.08,152.4,0.63,207.4
224,1.08,152.4,0.63,207.4
224,1.079,152.3,0.63,207.6
224,1.079,152.3,0.63,207.6
224.2,1.088,153.5,0.63,206.1
224.2,1.088,153.5,0.63,206.1
224.2,1.083,153.2,0.63,207.0
224.2,1.083,153.2,0.63,207.0
224.2,1.087,153.8,0.63,206.3
224.2,1.087,153.8,0.63,206.3
224,1.081,153,0.63,207.2
224,1.081,153,0.63,207.2
224.2,1.082,153.6,0.63,207.2
224.2,1.082,153.6,0.63,207.2
224.1,1.089,154.1,0.63,205.8
224.1,1.089,154.1,0.63,205.8
224,1.079,153.1,0.63,207.6
224,1.079,153.1,0.63,207.6
223.9,1.078,153.2,0.63,207.7
223.9,1.078,153.2,0.63,207.7
223.9,1.082,153.4,0.63,206.9
223.9,1.082,153.4,0.63,206.9
223.7,1.074,152.7,0.64,208.3
223.7,1.074,152.7,0.64,208.3
223.9,1.081,153.7,0.64,207.1
223.9,1.081,153.7,0.64,207.1
223.9,1.081,153.7,0.64,207.1
224,1.081,153.8,0.64,207.2
224,1.081,153.8,0.64,207.2
224,1.078,153.7,0.64,207.8
224,1.078,153.7,0.64,207.8
223.9,1.084,154.1,0.63,206.5
223.8,1.076,153.4,0.64,208.0
223.8,1.076,153.4,0.64,208.0
223.8,1.076,153.4,0.64,208.0
223.7,1.074,153.2,0.64,208.3
223.7,1.074,153.2,0.64,208.3
223.9,1.083,154.2,0.64,206.7
223.9,1.083,154.2,0.64,206.7
224,1.078,153.9,0.64,207.8
224,1.078,153.9,0.64,207.8
224,1.081,154.5,0.64,207.2
224,1.081,154.5,0.64,207.2
223.8,1.078,153.9,0.64,207.6
223.8,1.078,153.9,0.64,207.6
223.8,1.075,153.7,0.64,208.2
223.8,1.075,153.7,0.64,208.2
223.6,1.079,154,0.64,207.2
223.6,1.079,154,0.64,207.2
223.7,1.074,153.7,0.64,208.3
223.7,1.074,153.7,0.64,208.3
223.9,1.077,154.3,0.64,207.9
223.9,1.077,154.3,0.64,207.9
223.9,1.084,155,0.64,206.5
223.9,1.084,155,0.64,206.5
223.8,1.078,154.4,0.64,207.6
223.8,1.078,154.4,0.64,207.6
223.8,1.079,154.6,0.64,207.4
223.8,1.079,154.6,0.64,207.4
223.4,1.073,153.5,0.64,208.2
223.4,1.073,153.5,0.64,208.2
223.4,1.069,153.2,0.64,209.0
223.4,1.069,153.2,0.64,209.0
223.5,1.078,154.2,0.64,207.3
223.5,1.078,154.2,0.64,207.3
223.7,1.074,154.3,0.64,208.3
223.7,1.074,154.3,0.64,208.3
223.8,1.074,154.3,0.64,208.4
223.8,1.074,154.3,0.64,208.4
223.5,1.077,154.3,0.64,207.5
223.5,1.077,154.3,0.64,207.5
223.4,1.069,153.7,0.64,209.0
223.4,1.069,153.7,0.64,209.0
223.3,1.069,153.7,0.64,208.9
223.3,1.069,153.7,0.64,208.9
223.2,1.07,153.7,0.64,208.6
223.2,1.07,153.7,0.64,208.6
223.5,1.07,153.8,0.64,208.9
223.5,1.07,153.8,0.64,208.9
223.6,1.077,154.8,0.64,207.6
223.6,1.077,154.8,0.64,207.6
223.6,1.073,154.4,0.64,208.4
223.6,1.073,154.4,0.64,208.4
223.5,1.069,154.1,0.64,209.1
223.5,1.069,154.1,0.64,209.1
223.4,1.076,154.7,0.64,207.6
223.4,1.076,154.7,0.64,207.6
223.4,1.068,154,0.65,209.2
223.4,1.068,154,0.65,209.2
223.3,1.068,154,0.65,209.1
223.3,1.068,154,0.65,209.1
223.2,1.07,154,0.64,208.6
223.2,1.07,154,0.64,208.6
223.2,1.065,153.7,0.65,209.6
223.2,1.065,153.7,0.65,209.6
223.2,1.065,153.7,0.65,209.6
223.3,1.071,154.4,0.65,208.5
223.3,1.069,154.2,0.65,208.9
223.3,1.069,154.2,0.65,208.9
223.4,1.067,154.1,0.65,209.4
223.4,1.067,154.1,0.65,209.4
223.4,1.074,154.7,0.64,208.0
223.4,1.074,154.7,0.64,208.0
223.4,1.074,153.6,0.64,208.0
223.1,1.063,153.6,0.65,209.9
223.1,1.063,153.6,0.65,209.9
223.3,1.067,154.2,0.65,209.3
223.3,1.067,154.2,0.65,209.3
223.3,1.073,154.8,0.65,208.1
223.3,1.073,154.8,0.65,208.1
223.4,1.068,154.3,0.65,209.2
223.4,1.07,154.7,0.65,208.8
223.4,1.07,154.7,0.65,208.8
223.4,1.07,154.7,0.65,208.8
223.1,1.067,154.2,0.65,209.1
223.1,1.067,154.2,0.65,209.1
223.1,1.063,153.8,0.65,209.9
223.1,1.063,153.8,0.65,209.9
223.3,1.073,155.2,0.65,208.1
223.3,1.073,155.2,0.65,208.1
223.3,1.068,154.6,0.65,209.1
223.3,1.068,154.6,0.65,209.1
223.3,1.066,154.4,0.65,209.5
223.3,1.066,154.4,0.65,209.5
223.3,1.073,155.1,0.65,208.1
223.3,1.073,155.1,0.65,208.1
223.1,1.064,154.2,0.65,209.7
223.1,1.064,154.2,0.65,209.7
222.9,1.062,153.8,0.65,209.9
222.9,1.062,153.8,0.65,209.9
223.2,1.07,154.8,0.65,208.6
223.2,1.07,154.8,0.65,208.6
223.3,1.067,154.7,0.65,209.3
223.3,1.067,154.7,0.65,209.3
223.3,1.072,155.3,0.65,208.3
223.3,1.072,155.3,0.65,208.3
223.4,1.07,155.1,0.65,208.8
223.4,1.07,155.1,0.65,208.8
223.4,1.068,155.1,0.65,209.2
223.4,1.068,155.1,0.65,209.2
223.1,1.069,154.9,0.65,208.7
223.1,1.069,154.9,0.65,208.7
223.1,1.063,154.4,0.65,209.9
223.1,1.063,154.4,0.65,209.9
223.3,1.067,155,0.65,209.3
223.3,1.067,155,0.65,209.3
223.4,1.074,155.8,0.65,208.0
223.4,1.074,155.8,0.65,208.0
223.4,1.068,155.2,0.65,209.2
223.4,1.068,155.2,0.65,209.2
223.4,1.07,155.5,0.65,208.8
223.4,1.07,155.5,0.65,208.8
223.2,1.07,155.2,0.65,208.6
223.2,1.07,155.2,0.65,208.6
222.9,1.061,154,0.65,210.1
222.9,1.061,154,0.65,210.1
223,1.069,154.9,0.65,208.6
223,1.069,154.9,0.65,208.6
223.2,1.068,155.1,0.65,209.0
223.2,1.068,155.1,0.65,209.0
223.4,1.069,155.6,0.65,209.0
223.4,1.069,155.6,0.65,209.0
223.4,1.077,156.2,0.65,207.4
223.4,1.077,156.2,0.65,207.4
223.5,1.069,155.6,0.65,209.1
223.5,1.069,155.6,0.65,209.1
223.3,1.067,155.4,0.65,209.3
223.3,1.067,155.4,0.65,209.3
223,1.066,155,0.65,209.2
223,1.066,155,0.65,209.2
223.3,1.067,155.4,0.65,209.3
223.3,1.067,155.4,0.65,209.3
223.4,1.07,156,0.65,208.8
223.4,1.07,156,0.65,208.8
223.4,1.07,156,0.65,208.8
223.4,1.069,155.8,0.65,209.0
223.4,1.066,155.5,0.65,209.6
223.4,1.066,155.5,0.65,209.6
222.9,1.065,154.9,0.65,209.3
222.9,1.065,154.9,0.65,209.3
223,1.061,154.6,0.65,210.2
223,1.061,154.6,0.65,210.2
223,1.061,154.6,0.65,210.2
222.9,1.059,154.4,0.65,210.5
222.9,1.059,154.4,0.65,210.5
223.2,1.07,155.7,0.65,208.6
223.2,1.07,155.7,0.65,208.6
223.2,1.064,155.3,0.65,209.8
223.2,1.064,155.3,0.65,209.8
223.2,1.064,155.3,0.65,209.8
223.2,1.064,155.3,0.65,209.8
223.1,1.068,155.6,0.65,208.9
223.1,1.068,155.6,0.65,208.9
223.1,1.063,155.1,0.65,209.9
223.1,1.063,155.1,0.65,209.9
222.9,1.064,155.1,0.65,209.5
222.9,1.064,155.1,0.65,209.5
223,1.065,155.1,0.65,209.4
223,1.065,155.1,0.65,209.4
223.1,1.063,155.1,0.65,209.9
223.1,1.063,155.1,0.65,209.9
223.3,1.073,156.4,0.65,208.1
223.3,1.073,156.4,0.65,208.1
223.2,1.066,155.6,0.65,209.4
223.2,1.066,155.6,0.65,209.4
223.3,1.067,155.9,0.65,209.3
223.3,1.067,155.9,0.65,209.3
223.2,1.071,156.1,0.65,208.4
223.2,1.071,156.1,0.65,208.4
223,1.063,155.1,0.65,209.8
223,1.063,155.1,0.65,209.8
223.3,1.069,156.2,0.65,208.9
223.3,1.069,156.2,0.65,208.9
223.2,1.071,156,0.65,208.4
223.2,1.071,156,0.65,208.4
223.3,1.068,156,0.65,209.1
223.3,1.068,156,0.65,209.1
223.3,1.072,156.6,0.65,208.3
223.3,1.072,156.6,0.65,208.3
223.3,1.069,156,0.65,208.9
223.3,1.069,156,0.65,208.9
223.1,1.063,155.4,0.66,209.9
223.1,1.063,155.4,0.66,209.9
