voltage,current,power,pf,z
226.1,1.071,164.5,0.68,211.1
226.1,1.071,164.5,0.68,211.1
226.1,1.07,164.5,0.68,211.3
226.1,1.07,164.5,0.68,211.3
226.1,1.07,164.5,0.68,211.3
226.1,1.07,164.5,0.68,211.3
226.1,1.07,164.7,0.68,211.3
226.1,1.07,164.7,0.68,211.3
226.1,1.07,164.7,0.68,211.3
226.1,1.07,164.7,0.68,211.3
226.1,1.071,165,0.68,211.1
226.1,1.071,165,0.68,211.1
226.1,1.072,165.1,0.68,210.9
226.1,1.072,165.1,0.68,210.9
226.1,1.072,165,0.68,210.9
226.1,1.072,165,0.68,210.9
226.1,1.071,164.9,0.68,211.1
226.1,1.071,164.9,0.68,211.1
226.1,1.07,164.9,0.68,211.3
226.1,1.07,164.9,0.68,211.3
226.1,1.07,165.1,0.68,211.3
226.1,1.07,165.1,0.68,211.3
226,1.068,164.8,0.68,211.6
226,1.068,164.8,0.68,211.6
226,1.071,165,0.68,211.0
226,1.071,165,0.68,211.0
226,1.071,164.9,0.68,211.0
226,1.071,164.9,0.68,211.0
225.9,1.07,164.8,0.68,211.1
225.9,1.07,164.8,0.68,211.1
225.9,1.07,164.8,0.68,211.1
225.9,1.07,164.8,0.68,211.1
226,1.072,165.2,0.68,210.8
226,1.072,165.2,0.68,210.8
225.9,1.071,165,0.68,210.9
225.9,1.071,165,0.68,210.9
225.9,1.071,165.2,0.68,210.9
225.9,1.071,165.2,0.68,210.9
226,1.072,165.2,0.68,210.8
226,1.072,165.2,0.68,210.8
226,1.072,165.3,0.68,210.8
226,1.072,165.3,0.68,210.8
226,1.072,165.3,0.68,210.8
225.9,1.071,165,0.68,210.9
226,1.071,165.3,0.68,211.0
226,1.071,165.3,0.68,211.0
225.8,1.068,164.8,0.68,211.4
225.8,1.068,164.8,0.68,211.4
225.8,1.068,164.8,0.68,211.4
225.8,1.068,164.8,0.68,211.4
225.8,1.068,164.2,0.68,211.4
225.5,1.064,164.2,0.68,211.9
225.5,1.064,164.2,0.68,211.9
225.5,1.063,164,0.68,212.1
225.5,1.063,164,0.68,212.1
225.5,1.063,164,0.68,212.1
225.5,1.062,164.1,0.69,212.3
225.5,1.062,164.1,0.69,212.3
225.5,1.063,164.1,0.68,212.1
225.5,1.063,164.1,0.68,212.1
225.5,1.063,164.1,0.68,212.1
225.4,1.062,163.9,0.68,212.2
225.4,1.062,163.9,0.68,212.2
225.5,1.062,164.1,0.69,212.3
225.5,1.062,164.1,0.69,212.3
225.5,1.063,164.4,0.69,212.1
225.5,1.063,164.4,0.69,212.1
225.6,1.064,164.4,0.68,212.0
225.6,1.064,164.4,0.68,212.0
225.6,1.064,164.6,0.69,212.0
225.6,1.064,164.6,0.69,212.0
225.6,1.064,164.4,0.68,212.0
225.6,1.064,164.4,0.68,212.0
225.6,1.061,164.2,0.69,212.6
225.6,1.061,164.2,0.69,212.6
225.6,1.061,164.4,0.69,212.6
225.6,1.061,164.4,0.69,212.6
225.5,1.06,164.1,0.69,212.7
225.5,1.06,164.1,0.69,212.7
225.6,1.062,164.4,0.69,212.4
225.6,1.062,164.4,0.69,212.4
225.6,1.062,164.5,0.69,212.4
225.6,1.062,164.5,0.69,212.4
225.7,1.063,164.8,0.69,212.3
225.7,1.063,164.8,0.69,212.3
225.7,1.063,164.6,0.69,212.3
225.7,1.063,164.6,0.69,212.3
225.7,1.063,164.8,0.69,212.3
225.7,1.063,164.8,0.69,212.3
225.7,1.063,164.8,0.69,212.3
225.7,1.063,164.8,0.69,212.3
225.7,1.062,164.7,0.69,212.5
225.7,1.062,164.7,0.69,212.5
225.7,1.063,164.9,0.69,212.3
225.7,1.063,164.9,0.69,212.3
225.6,1.061,164.6,0.69,212.6
225.6,1.061,164.6,0.69,212.6
225.6,1.062,164.6,0.69,212.4
225.6,1.062,164.6,0.69,212.4
225.7,1.064,165,0.69,212.1
225.7,1.064,165,0.69,212.1
225.6,1.062,164.8,0.69,212.4
225.6,1.062,164.8,0.69,212.4
225.6,1.062,164.6,0.69,212.4
225.6,1.062,164.6,0.69,212.4
225.6,1.061,164.5,0.69,212.6
225.6,1.061,164.5,0.69,212.6
225.5,1.059,164.3,0.69,212.9
225.5,1.059,164.3,0.69,212.9
225.5,1.057,164.3,0.69,213.3
225.5,1.057,164.3,0.69,213.3
225.5,1.059,164.4,0.69,212.9
225.5,1.059,164.4,0.69,212.9
225.4,1.057,164.1,0.69,213.2
225.4,1.057,164.1,0.69,213.2
225.4,1.058,163.9,0.69,213.0
225.4,1.058,163.9,0.69,213.0
225.5,1.06,164.5,0.69,212.7
225.5,1.06,164.5,0.69,212.7
225.5,1.059,164.2,0.69,212.9
225.5,1.059,164.2,0.69,212.9
225.5,1.059,164.2,0.69,212.9
225.4,1.058,164.2,0.69,213.0
225.4,1.058,164.1,0.69,213.0
225.4,1.058,164.1,0.69,213.0
225.4,1.058,164.3,0.69,213.0
225.4,1.058,164.3,0.69,213.0
225.3,1.057,164.1,0.69,213.2
225.3,1.057,164.1,0.69,213.2
225.3,1.057,164.1,0.69,213.2
225.3,1.057,164,0.69,213.2
225.3,1.057,164,0.69,213.2
225.3,1.057,164,0.69,213.2
225.3,1.057,164,0.69,213.2
225.3,1.056,164,0.69,213.4
225.3,1.056,164.1,0.69,213.4
225.3,1.056,164.1,0.69,213.4
225.3,1.056,164.1,0.69,213.4
225.3,1.055,163.8,0.69,213.6
225.3,1.055,163.8,0.69,213.6
225.3,1.054,163.7,0.69,213.8
225.3,1.054,163.7,0.69,213.8
225.2,1.055,163.7,0.69,213.5
225.2,1.055,163.7,0.69,213.5
225.2,1.054,163.9,0.69,213.7
225.2,1.054,163.9,0.69,213.7
225.2,1.054,163.8,0.69,213.7
225.2,1.054,163.8,0.69,213.7
225.2,1.052,163.5,0.69,214.1
225.2,1.052,163.5,0.69,214.1
225.1,1.051,163.3,0.69,214.2
225.1,1.051,163.3,0.69,214.2
225,1.049,163,0.69,214.5
225,1.049,163,0.69,214.5
225,1.05,163.3,0.69,214.3
225,1.05,163.3,0.69,214.3
225.1,1.05,163.4,0.69,214.4
225.1,1.05,163.4,0.69,214.4
225.1,1.052,163.6,0.69,214.0
