voltage,current,power,pf,z
223.5,1.172,259.2,0.9,190.7
223.5,1.172,259.2,0.9,190.7
223.8,0.968,187.1,0.86,231.2
223.8,0.968,187.1,0.86,231.2
223.7,1.083,197.3,0.81,206.6
223.7,1.083,197.3,0.81,206.6
223.7,1.085,198.8,0.82,206.2
223.7,1.085,198.8,0.82,206.2
223.7,1.086,199.6,0.82,206.0
223.7,1.086,199.6,0.82,206.0
223.7,1.089,200.8,0.82,205.4
223.7,1.089,200.8,0.82,205.4
223.7,1.089,201.1,0.83,205.4
223.7,1.089,201.1,0.83,205.4
223.8,1.09,201.3,0.83,205.3
223.8,1.09,201.3,0.83,205.3
223.7,1.09,201.3,0.83,205.2
223.7,1.09,201.3,0.83,205.2
223.7,1.09,201.5,0.83,205.2
223.7,1.09,201.5,0.83,205.2
223.7,1.09,201.6,0.83,205.2
223.7,1.09,201.6,0.83,205.2
223.7,1.09,201.6,0.83,205.2
223.8,1.091,201.8,0.83,205.1
223.8,1.091,201.8,0.83,205.1
223.8,1.091,201.7,0.83,205.1
223.8,1.091,201.8,0.83,205.1
223.8,1.091,201.8,0.83,205.1
223.8,1.091,201.9,0.83,205.1
223.8,1.091,201.9,0.83,205.1
223.8,1.091,201.9,0.83,205.1
223.8,1.091,201.9,0.83,205.1
223.8,1.091,201.9,0.83,205.1
223.9,1.093,202.2,0.83,204.8
223.9,1.093,202.2,0.83,204.8
223.9,1.093,202.3,0.83,204.8
223.9,1.093,202.3,0.83,204.8
224,1.094,202.5,0.83,204.8
224,1.094,202.5,0.83,204.8
224,1.094,202.4,0.83,204.8
224,1.094,202.4,0.83,204.8
224,1.094,202.3,0.83,204.8
224,1.094,202.3,0.83,204.8
223.9,1.094,202.4,0.83,204.7
223.9,1.094,202.4,0.83,204.7
224,1.094,202.5,0.83,204.8
224,1.094,202.5,0.83,204.8
224.1,1.095,202.6,0.83,204.7
224.1,1.095,202.6,0.83,204.7
224.1,1.096,202.8,0.83,204.5
224.1,1.096,202.8,0.83,204.5
224.1,1.095,202.7,0.83,204.7
224.1,1.095,202.7,0.83,204.7
224.1,1.095,202.6,0.83,204.7
224.1,1.095,202.6,0.83,204.7
224.1,1.096,202.9,0.83,204.5
224.1,1.096,202.9,0.83,204.5
224,1.095,202.6,0.83,204.6
224,1.095,202.6,0.83,204.6
224,1.095,202.7,0.83,204.6
224,1.095,202.7,0.83,204.6
224,1.095,202.6,0.83,204.6
224,1.095,202.6,0.83,204.6
224,1.095,202.6,0.83,204.6
224,1.095,202.6,0.83,204.6
224,1.095,202.5,0.83,204.6
224,1.095,202.5,0.83,204.6
223.9,1.093,202.3,0.83,204.8
223.9,1.093,202.3,0.83,204.8
223.8,1.093,202.4,0.83,204.8
223.8,1.093,202.4,0.83,204.8
224,1.096,202.7,0.83,204.4
224,1.096,202.7,0.83,204.4
224.2,1.098,203.2,0.83,204.2
224.2,1.098,203.2,0.83,204.2
224.2,1.099,203.3,0.83,204.0
224.2,1.099,203.3,0.83,204.0
224.2,1.098,203.2,0.83,204.2
224.2,1.098,203.2,0.83,204.2
224.2,1.099,203.3,0.83,204.0
224.2,1.099,203.3,0.83,204.0
224.3,1.099,203.5,0.83,204.1
224.3,1.099,203.5,0.83,204.1
224.3,1.099,203.5,0.83,204.1
224.3,1.099,203.5,0.83,204.1
224.3,1.099,203.5,0.83,204.1
224.3,1.099,203.5,0.83,204.1
224.3,1.1,203.6,0.83,203.9
224.3,1.1,203.6,0.83,203.9
224.4,1.1,203.7,0.83,204.0
224.4,1.1,203.7,0.83,204.0
224.4,1.1,203.7,0.83,204.0
