voltage,current,power,pf,z
226,1.099,200,0.81,205.6
226,1.099,200,0.81,205.6
226.1,1.098,200.1,0.81,205.9
226.1,1.098,200.1,0.81,205.9
226,1.098,200,0.81,205.8
226,1.098,200,0.81,205.8
226,1.098,200.2,0.81,205.8
226,1.098,200.2,0.81,205.8
226,1.098,200,0.81,205.8
226,1.098,200,0.81,205.8
226,1.097,200.1,0.81,206.0
226,1.097,200.1,0.81,206.0
226,1.097,200.1,0.81,206.0
226,1.097,200.1,0.81,206.0
226,1.097,200.1,0.81,206.0
226,1.097,200.2,0.81,206.0
225.9,1.096,200,0.81,206.1
225.9,1.096,200,0.81,206.1
225.8,1.096,199.8,0.81,206.0
225.8,1.096,199.8,0.81,206.0
225.9,1.095,199.9,0.81,206.3
225.9,1.095,199.9,0.81,206.3
225.9,1.095,199.9,0.81,206.3
225.9,1.095,199.9,0.81,206.3
225.9,1.095,199.9,0.81,206.3
225.9,1.096,200.2,0.81,206.1
225.9,1.096,200.2,0.81,206.1
225.9,1.097,200.3,0.81,205.9
226,1.096,200.3,0.81,206.2
226,1.096,200.3,0.81,206.2
226,1.096,200.3,0.81,206.2
225.9,1.095,200.3,0.81,206.3
225.9,1.095,200.3,0.81,206.3
225.9,1.095,200.2,0.81,206.3
225.9,1.095,200.2,0.81,206.3
225.9,1.095,200.3,0.81,206.3
225.9,1.095,200.3,0.81,206.3
225.8,1.095,200.1,0.81,206.2
225.8,1.095,200.1,0.81,206.2
225.8,1.096,200.3,0.81,206.0
225.8,1.096,200.3,0.81,206.0
225.8,1.095,200.4,0.81,206.2
225.8,1.095,200.4,0.81,206.2
225.8,1.095,200.3,0.81,206.2
225.8,1.095,200.3,0.81,206.2
225.8,1.095,200.3,0.81,206.2
225.8,1.095,200.3,0.81,206.2
225.9,1.096,200.5,0.81,206.1
225.9,1.096,200.5,0.81,206.1
225.9,1.096,200.6,0.81,206.1
225.9,1.096,200.6,0.81,206.1
225.9,1.095,200.5,0.81,206.3
225.9,1.095,200.5,0.81,206.3
225.9,1.094,200.5,0.81,206.5
225.9,1.094,200.5,0.81,206.5
225.9,1.096,200.8,0.81,206.1
225.9,1.096,200.8,0.81,206.1
226,1.098,201,0.81,205.8
226,1.098,201,0.81,205.8
226,1.097,201,0.81,206.0
226,1.097,201,0.81,206.0
225.9,1.096,200.9,0.81,206.1
225.9,1.096,200.9,0.81,206.1
225.9,1.096,200.8,0.81,206.1
225.9,1.096,200.8,0.81,206.1
225.9,1.096,200.8,0.81,206.1
225.9,1.096,200.8,0.81,206.1
225.9,1.095,200.8,0.81,206.3
225.9,1.095,200.8,0.81,206.3
225.9,1.096,201,0.81,206.1
225.9,1.096,201,0.81,206.1
225.9,1.094,200.8,0.81,206.5
225.9,1.094,200.8,0.81,206.5
