voltage,current,power,pf,z
229.4,1.147,208.8,0.79,200.0
229.4,1.147,208.9,0.79,200.0
229.3,1.147,208.8,0.79,199.9
229.3,1.147,208.8,0.79,199.9
229.4,1.146,208.8,0.79,200.2
229.4,1.146,208.8,0.79,200.2
229.4,1.146,208.8,0.79,200.2
229.3,1.145,208.6,0.79,200.3
229.3,1.145,208.6,0.79,200.3
229.2,1.145,208.6,0.79,200.2
229.2,1.145,208.6,0.79,200.2
229.4,1.147,208.9,0.79,200.0
229.4,1.147,208.9,0.79,200.0
229.2,1.145,208.6,0.79,200.2
229.2,1.145,208.6,0.79,200.2
229.2,1.145,208.7,0.8,200.2
229.2,1.145,208.7,0.8,200.2
229.2,1.145,208.9,0.8,200.2
229.2,1.145,208.9,0.8,200.2
229.2,1.146,209,0.8,200.0
229.2,1.146,209,0.8,200.0
229.2,1.147,209,0.8,199.8
229.2,1.147,209,0.8,199.8
229.3,1.145,208.9,0.8,200.3
229.3,1.145,208.9,0.8,200.3
229.2,1.144,208.8,0.8,200.3
229.2,1.144,208.8,0.8,200.3
229.1,1.144,208.8,0.8,200.3
229.1,1.144,208.8,0.8,200.3
229,1.144,208.8,0.8,200.2
229,1.144,208.8,0.8,200.2
229,1.142,208.5,0.8,200.5
229,1.142,208.5,0.8,200.5
229,1.142,208.6,0.8,200.5
229,1.142,208.6,0.8,200.5
229,1.142,208.6,0.8,200.5
229,1.142,208.6,0.8,200.5
229,1.142,208.7,0.8,200.5
229,1.142,208.7,0.8,200.5
228.9,1.141,208.5,0.8,200.6
228.9,1.141,208.5,0.8,200.6
228.8,1.139,208.4,0.8,200.9
228.8,1.139,208.4,0.8,200.9
228.9,1.14,208.5,0.8,200.8
228.9,1.14,208.5,0.8,200.8
229,1.142,208.9,0.8,200.5
229,1.142,208.9,0.8,200.5
228.9,1.142,208.8,0.8,200.4
228.9,1.142,208.8,0.8,200.4
228.7,1.137,208.1,0.8,201.1
228.7,1.137,208.1,0.8,201.1
228.4,1.134,207.4,0.8,201.4
228.4,1.134,207.4,0.8,201.4
228.3,1.132,207.2,0.8,201.7
228.3,1.132,207.2,0.8,201.7
228.2,1.132,207.2,0.8,201.6
228.2,1.132,207.2,0.8,201.6
228.2,1.133,207.4,0.8,201.4
228.2,1.133,207.4,0.8,201.4
228.3,1.132,207.3,0.8,201.7
228.3,1.132,207.3,0.8,201.7
228.2,1.131,207.2,0.8,201.8
228.2,1.131,207.2,0.8,201.8
228.2,1.131,207.1,0.8,201.8
228.2,1.131,207.1,0.8,201.8
228.1,1.131,207.1,0.8,201.7
228.1,1.131,207.1,0.8,201.7
228.1,1.13,207,0.8,201.9
228.1,1.13,207,0.8,201.9
228.1,1.131,207.3,0.8,201.7
228.1,1.131,207.3,0.8,201.7
228.1,1.13,207.1,0.8,201.9
228.1,1.13,207.1,0.8,201.9
228,1.13,207.1,0.8,201.8
228,1.13,207.1,0.8,201.8
228,1.13,207.1,0.8,201.8
228,1.131,207.1,0.8,201.6
