voltage,current,power,pf,z
223.1,0.728,143.5,0.88,306.5
223.1,0.728,143.5,0.88,306.5
223.5,1.312,259.2,0.9,170.4
223.5,1.312,259.2,0.9,170.4
223,1.122,218.8,0.87,198.8
223,1.123,219.1,0.87,198.6
223,1.123,219.1,0.87,198.6
222.9,1.122,219,0.88,198.7
222.9,1.122,219,0.88,198.7
222.9,1.122,219,0.88,198.7
222.9,1.121,218.8,0.88,198.8
222.9,1.121,218.8,0.88,198.8
223.1,1.124,219.2,0.87,198.5
223.1,1.124,219.2,0.87,198.5
223,1.123,219.2,0.88,198.6
223,1.123,219.2,0.88,198.6
223,1.122,219.1,0.88,198.8
223,1.122,219.1,0.88,198.8
223,1.122,219,0.88,198.8
223,1.122,219,0.88,198.8
222.9,1.122,219.1,0.88,198.7
222.9,1.122,219.1,0.88,198.7
223,1.123,219.1,0.87,198.6
223,1.123,219.1,0.87,198.6
223,1.122,219.1,0.88,198.8
223,1.122,219.1,0.88,198.8
223,1.123,219.3,0.88,198.6
223,1.123,219.3,0.88,198.6
223,1.123,219.3,0.88,198.6
223,1.123,219.3,0.88,198.6
223,1.123,219.3,0.88,198.6
223,1.123,219.3,0.88,198.6
222.9,1.122,219.1,0.88,198.7
222.9,1.122,219.1,0.88,198.7
222.8,1.121,218.8,0.88,198.8
222.8,1.121,218.8,0.88,198.8
222.8,1.12,218.7,0.88,198.9
222.8,1.12,218.7,0.88,198.9
222.8,1.121,218.9,0.88,198.8
222.8,1.121,218.9,0.88,198.8
222.6,1.12,218.6,0.88,198.8
222.6,1.12,218.6,0.88,198.8
222.7,1.12,218.7,0.88,198.8
222.7,1.12,218.7,0.88,198.8
222.7,1.12,218.7,0.88,198.8
222.7,1.12,218.7,0.88,198.8
222.7,1.12,218.7,0.88,198.8
222.7,1.12,218.7,0.88,198.8
222.7,1.121,218.8,0.88,198.7
222.7,1.121,218.8,0.88,198.7
222.7,1.121,218.7,0.88,198.7
222.7,1.121,218.7,0.88,198.7
222.7,1.121,218.8,0.88,198.7
