voltage,current,power,pf,z
228.7,1.164,228.9,0.86,196.5
228.7,1.164,228.9,0.86,196.5
228.7,1.164,228.9,0.86,196.5
228.7,1.164,228.9,0.86,196.5
228.6,1.164,228.9,0.86,196.4
228.6,1.164,228.9,0.86,196.4
228.6,1.164,228.9,0.86,196.4
228.6,1.163,228.9,0.86,196.6
228.6,1.163,228.9,0.86,196.6
228.6,1.164,228.9,0.86,196.4
228.6,1.164,228.9,0.86,196.4
228.6,1.163,228.9,0.86,196.6
228.7,1.165,229.2,0.86,196.3
228.7,1.165,229.2,0.86,196.3
228.7,1.165,229.2,0.86,196.3
228.7,1.164,229,0.86,196.5
228.7,1.164,229,0.86,196.5
228.7,1.165,229.1,0.86,196.3
228.7,1.165,229.1,0.86,196.3
228.8,1.165,229.2,0.86,196.4
228.8,1.165,229.2,0.86,196.4
228.8,1.165,229.2,0.86,196.4
228.8,1.165,229.2,0.86,196.4
228.7,1.165,229.3,0.86,196.3
228.7,1.165,229.3,0.86,196.3
228.7,1.165,229.3,0.86,196.3
228.7,1.165,229.3,0.86,196.3
228.7,1.164,229.1,0.86,196.5
228.7,1.164,229.1,0.86,196.5
228.7,1.164,229.1,0.86,196.5
228.7,1.164,229.1,0.86,196.5
228.7,1.164,229.1,0.86,196.5
228.7,1.164,229.1,0.86,196.5
228.7,1.165,229.1,0.86,196.3
228.7,1.165,229.1,0.86,196.3
228.8,1.165,229.3,0.86,196.4
228.8,1.165,229.3,0.86,196.4
228.7,1.164,229.2,0.86,196.5
228.7,1.164,229.2,0.86,196.5
228.6,1.162,228.9,0.86,196.7
228.6,1.162,228.9,0.86,196.7
228.5,1.163,228.9,0.86,196.5
228.5,1.163,228.9,0.86,196.5
228.5,1.163,228.9,0.86,196.5
228.5,1.163,228.9,0.86,196.5
228.5,1.163,228.8,0.86,196.5
228.5,1.163,228.8,0.86,196.5
228.6,1.162,228.9,0.86,196.7
228.6,1.162,228.9,0.86,196.7
228.6,1.162,228.9,0.86,196.7
228.6,1.162,228.9,0.86,196.7
228.5,1.162,228.8,0.86,196.6
228.5,1.162,228.8,0.86,196.6
228.5,1.161,228.8,0.86,196.8
228.5,1.161,228.8,0.86,196.8
228.3,1.159,228.3,0.86,197.0
228.3,1.159,228.3,0.86,197.0
228.4,1.16,228.5,0.86,196.9
228.4,1.16,228.5,0.86,196.9
228.4,1.161,228.6,0.86,196.7
228.4,1.161,228.6,0.86,196.7
228.4,1.16,228.5,0.86,196.9
228.4,1.16,228.5,0.86,196.9
228.3,1.159,228.3,0.86,197.0
228.3,1.159,228.3,0.86,197.0
228.3,1.159,228.4,0.86,197.0
228.3,1.159,228.4,0.86,197.0
228.3,1.158,228.2,0.86,197.2
228.3,1.158,228.2,0.86,197.2
228.2,1.158,228.1,0.86,197.1
228.2,1.158,228.1,0.86,197.1
228,1.155,227.7,0.86,197.4
228,1.155,227.7,0.86,197.4
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.153,227.2,0.87,197.5
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,227.1,0.87,197.7
227.7,1.152,227.1,0.87,197.7
227.7,1.152,227.1,0.87,197.7
227.7,1.151,227,0.87,197.8
227.7,1.151,227,0.87,197.8
227.7,1.152,227.1,0.87,197.7
227.7,1.152,227.1,0.87,197.7
227.6,1.152,227,0.87,197.6
227.6,1.151,226.9,0.87,197.7
227.6,1.151,226.9,0.87,197.7
227.6,1.15,226.9,0.87,197.9
227.6,1.15,226.9,0.87,197.9
227.6,1.15,226.9,0.87,197.9
227.5,1.149,226.5,0.87,198.0
227.5,1.149,226.5,0.87,198.0
227.4,1.149,226.4,0.87,197.9
227.4,1.149,226.4,0.87,197.9
227.3,1.147,226.1,0.87,198.2
227.3,1.147,226.1,0.87,198.2
227.5,1.149,226.5,0.87,198.0
227.5,1.149,226.5,0.87,198.0
227.6,1.151,226.8,0.87,197.7
227.6,1.151,226.8,0.87,197.7
227.5,1.15,226.5,0.87,197.8
227.5,1.15,226.5,0.87,197.8
227.4,1.15,226.5,0.87,197.7
227.4,1.15,226.5,0.87,197.7
227.5,1.15,226.6,0.87,197.8
227.5,1.15,226.6,0.87,197.8
227.5,1.15,226.4,0.87,197.8
227.5,1.15,226.4,0.87,197.8
227.6,1.151,226.7,0.87,197.7
227.6,1.151,226.7,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,226.9,0.87,197.7
227.7,1.152,226.9,0.87,197.7
227.6,1.151,226.9,0.87,197.7
227.6,1.151,226.9,0.87,197.7
227.5,1.151,226.7,0.87,197.7
227.5,1.151,226.7,0.87,197.7
227.5,1.151,226.7,0.87,197.7
227.5,1.151,226.7,0.87,197.7
227.6,1.151,226.7,0.87,197.7
227.6,1.151,226.7,0.87,197.7
227.7,1.152,226.9,0.87,197.7
227.7,1.152,226.9,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.6,1.152,226.9,0.87,197.6
227.6,1.152,226.9,0.87,197.6
227.6,1.151,226.9,0.87,197.7
227.6,1.151,226.9,0.87,197.7
227.6,1.15,226.7,0.87,197.9
227.6,1.15,226.7,0.87,197.9
227.6,1.151,226.7,0.87,197.7
227.6,1.151,226.7,0.87,197.7
227.7,1.153,227.2,0.87,197.5
227.7,1.153,227.2,0.87,197.5
227.7,1.153,227.1,0.87,197.5
227.7,1.153,227.1,0.87,197.5
227.7,1.153,227.2,0.87,197.5
227.7,1.153,227.2,0.87,197.5
227.7,1.152,227.1,0.87,197.7
227.7,1.152,227.1,0.87,197.7
227.6,1.152,227,0.87,197.6
227.6,1.152,227,0.87,197.6
227.6,1.152,227,0.87,197.6
227.6,1.152,227,0.87,197.6
227.7,1.152,227,0.87,197.7
227.7,1.152,227,0.87,197.7
227.7,1.154,227.5,0.87,197.3
227.9,1.154,227.5,0.87,197.5
228,1.155,227.7,0.86,197.4
228,1.155,227.7,0.86,197.4
227.8,1.153,227.5,0.87,197.6
227.8,1.153,227.5,0.87,197.6
227.6,1.15,226.9,0.87,197.9
227.6,1.15,226.9,0.87,197.9
227.6,1.152,227.1,0.87,197.6
